No. ,Titik Koordinat,Nama Unit,"ALAMAT  KANTOR",KELURAHAN,KECAMATAN,KOTA / KABUPATEN,KODE POS,PROVINSI,Area/Cluster,Kode Cabang,Column 1,Column 2,Column 3
34,"-6.3774536,106.8647279",Depok Cisalak 1,"Jl. Raya Bogor Km.31 No. 4-5, Cisalak",Cisalak Pasar,Cimanggis,Kota Depok,16416,JAWA BARAT,DEPOK 1,15705,,,"meleset 10 meter (ketengah jalan, but its okay)"
35,"-6.4027742,106.8811413",Depok Pekapuran 1,Jl. Raya Pekapuran RT 001 RW 006,Sukamaju Baru,Tapos,Kota Depok,16455,JAWA BARAT,DEPOK 1,15788,,,meleset 1 meter (ke samping bank)
36,"-6.354568, 106.845728",Depok Kelapa Dua 2,"Jl. Raya Akses UI No. 88 C, Kelapa Dua, Cimanggis",Tugu,Cimanggis,Kota Depok,16451,JAWA BARAT,DEPOK 1,15704,,,
37,"-6.391033, 106.851081",Depok Timur 1,"Jl. Proklamasi Raya Blok A No.7-8, Depok II Timur",Abadijaya,Sukmajaya,Kota Depok,16417,JAWA BARAT,DEPOK 1,15709,,,
38,"-6.403838, 106.838997",Depok Tengah 2,Jl Tole Iskandar No. 3 Depok II Tengah,Mekarjaya,Sukmajaya,Kota Depok,16411,JAWA BARAT,DEPOK 1,15703,,,
39,"-6.393319, 106.823409",Depok ITC 1,"Pertokoan ITC Depok No.49,Jl. Margonda Raya",Depok,Pancoran Mas,Kota Depok,16431,JAWA BARAT,DEPOK 2,15708,,,
40,"-6.405712, 106.818702",Depok Kartini 1,"Pertokoan Kartini Blok A No. 11, Jl. Kartini Raya, Pancoran Mas",Depok,Pancoran Mas,Kota Depok,16436,JAWA BARAT,DEPOK 2,15716,,,
41,"-6.391496, 106.814397",Depok Satu 2,Jl. Nusantara Raya No. 25 AB,Depok Jaya,Pancoran Mas,Kota Depok,16432,JAWA BARAT,DEPOK 2,15706,,,
42,"-6.3720101,106.8349352",Depok Margo City 1,"Margo City Lower Ground 27-28, Jl. Margonda Raya No.358",Kemiri Muka,Beji,Kota Depok,16423,JAWA BARAT,DEPOK 2,15714,,,
43,"-6.383621, 106.829832",Depok 1,Jl. Margonda Raya No. 2,Kemiri Muka,Beji,Kota Depok,16432,JAWA BARAT,DEPOK 2,15700,,,
44,"-6.444520, 106.804441",Depok Citayam 1,Nuansa Depok 99 Blok R No. 3 RT 001 RW 011,Pondok Jaya,Citayam,Kota Depok,16438,JAWA BARAT,DEPOK 2,15777,,,
45,"-6.3620432,106.8249083",Depok Universitas Indonesia 1,"Fakultas Teknik Universitas Indonesia, Gedung Dekanat Fakultas Teknik, Kampus Universitas Indonesia Depok, Jl. Prof. DR. Ir R Roosseno",Kukusan,Beji,Kota Depok,16425,JAWA BARAT,DEPOK 2,15713,,,
